Name,Slug,is_featured,city,state,services_provided,url,description,display_order,is_custom,is_active
Nuview Nutrition,,1,Clarkston,MI,"Web Design, Logo Design, Web Maintenance",,"<p>For Nuview Nutrition of Clarkston, MI, I first created the logo. To convey the image of nutrition, I used an apple as the main image of the logo. I also used very clean typefaces and curves that had a similar look and feel of the apple. I maintained the clean look and feel that many people have come to associate with nutrition.</p>",2,,
Gregg's Gourmet Cafe,,1,Clarkston,MI,"Web Design, Web Maintenance",http://greggsgourmetcafe.com,"<p>This is a website created for Gregg's Gourmet Cafe of Clarkston, MI. While originally using a custom web application to keep track of all menu items, it has been redone using WordPress that allows for a easier to navigate view and quick-to-reference menu information. The design of the site borrows the colors and simplicity of the existing logo. The site is now responsive in it's design as a lot of people check the menu from mobile devices.</p>",4,,
The Gate,,1,Big Rapids,MI,"Web Design, Web Maintenance",,"<p>This is a website I created for The Gate, bowling alley, bar and grill located in Big Rapids, Michigan. The website is a combination of the WordPress content management system and special PHP applications for reservations and events. The site is also mobile ready so it is easily usable on a smartphone.</p>",5,,
Sage Orthodontics,,1,Portage,MI,"Web Design, Web Maintenance",http://sageorthodontics.com,"<p>In this website for Sage Orthodontics, located in Portage, MI, I incorporated not only the colors in the logo, but also colors used in the office itself. My goal was to create a very ""hygienic"" look using clean lines and colors that were pleasing to the eye.</p>",6,,
Four Green Fields Farm,,,Rodney,MI,"Web Design, Web Maintenance",http://fourgreenfieldsfarm.com,"<p>This is a website I created for Four Green Fields Farm, located in Rodney, MI, which is just outside of Big Rapids. The farm features a haunted hay ride and maze in October and sleigh rides in the winter. The calendar on the site is continuously updated as technology evolves. The features are designed to allow the owner to edit events without programming knowledge. The website was given a country appeal with blues and greens which reflect on the culture of the farm and business, but is also completely usable on all devices.</p>",8,,
Laura Jasurda,,1,Clarkston,MI,Web Design,,"<p>This website was used for Laura Jasurda of Clarkston, MI to promote her small business coaching and expertise. The website was designed to to fit the branding of her and her logo and promote her knowledge.</p>",,,
"Common Scents Canine Center, Inc.",,,Ortonville,MI,Web Design,http://commonscentscanine.com,"<p>Common Scents Canine Center, Inc. of Ortonville, MI offer both boarding and grooming for our furry friends. In order to accommodate both into one website, I gave them both their own flair. The website is able to contain a high amount of information without overwhelming a user.</p>",,,
Accurate Physical Therapy / Health Team Services II,,,Pontiac,MI,"Web Design, Web Maintenance",http://accuratephysicaltherapy.com,"<p>This is a website I created for Accurate Physical Therapy / Health Team Services II located in Pontiac, MI. They specialize in aquatic physical therapy. Because of this, I wanted to express this on the website by giving it a water theme. The website is easy to navigate so people can find the information and help they need.</p>",,,
Heather Pines Adult Care,,1,Clarkston,MI,Web Design,http://heatherpinesadultcare.com,"<p>This website was created to attract possible clients to Heather Pines Adult Care. The website is mainly used for informative purposes. Because of the many trees found on the location, the theme of nature and green is used in the name and the overall theme for the site.</p>",9,,
Christ Lutheran Church of Waterford,,1,Waterford,MI,"Web Design, Web Maintenance",http://christwaterford.org,"<p>For the Christ Lutheran Church of Waterford website, I designed the layout to be welcoming for the congregation and those who are searching for a new church to call home. The site features my custom calendar application that allows administrators to log in and create events without any coding knowledge. The calendar was created using the latest technology and trends.</p>",7,,
Moxie Fitness and Health,,,,,Web Design,,"<p>This website was created for Moxie Fitness and Health, which is owned and operated by Michelle Pozan. The blues contrasting with splashes of orange create an inviting look in order to inform potential customers of the services offered by the owner, Michelle Pozan.</p>",,,
"Artrageous Limousine Service, LLC",,,Wayne,MI,Web Design,,"This is a website for Artrageous Limousine. It utilizes both a one page design and is responsive so it works on every device. In just one page, it is able to display all of the information needed all without overwhelming the user.",,,
Facials By Jude,,,Oxford,MI,Web Design,http://facialsbyjude.com,"This website for Facials by Jude of Oxford, MI was designed to replicate a flyer she already had. The website uses soft colors to create a calming visual.",,,
Gary Zirwes - Health and Wellness,,,,,Logo Design,,"This logo was created for Gary Zirwes - Health and Wellness. It incorporates the three messages that his company covers in the outer circle. Because his company sells many ""green"" products, the color was heavily used in the design.",,,
Michigan Elvis Presley Fan Club,,,,,Logo Design,,I created this logo for the Michigan Elvis Presley Fan Club. The logo incorporates the map of Michigan with silhouette of Elvis inside the state. The logo uses a typeface that incorporates the look and feel of the Elvis era.,,,
Red Pine Pottery & Twigs,,,Ortonville,MI,Web Design,http://redpinepotteryandtwigs.com,"Red Pine Pottery & Twigs is a studio in Ortonville, MI operated by Susan Kolb. For the website, I used an existing flyer to recreate a familiar look and feel that customers were already used to. The site offers information and pictures of the work that Susan has done.",,,
Show Your Support for Breast Cancer Awareness,,,,,Logo Design,,I co-created this logo with Katie Tackaberry. It was later used for sale of t-shirts where the proceeds were put towards Breast Cancer Awareness.,,,
Pure Relaxation Massage,,,,,"Web Design, Logo Design, Web Maintenance",,"<p>This logo was created for Pure Relaxation Massage. It uses clean and elegant lines that give the feeling of sophistication. The typeface used with the logo reflects this same feeling.</p><p>I also created the company's first website. The site recreated the sense of sophistication that the logo gave. Eventually, the company outgrew my services and set forth on their own.</p>",,,
"Susan M. Kolb, MA - Limited Licensed Psychologist",,,,,Web Design,,"<p>This is a single page website done for Susan M. Kolb, a limited licensed psychologist. Like her site for Red Pine Pottery &amp; Twigs, this site was also designed based on an existing flyer. The simple site allows customers to get quick information.</p>",,,
"Rob Schroeder - Maintenance, Repair & Paint",,,Goodrich,MI,Web Design,,"This is a single page website made for Rob Schroeder, a handyman located in Southern Genesee County, MI. Because of his love for cars, the site uses Ferrari red in its design. I also replicated the design of his business card into the header of the website.",,,
Respiratory Card Club of Ferris State University,,,Big Rapids,MI,Logo Design,,"When the Respiratory Card Club of Ferris State University were creating merchandise for their group, they commissioned me to create the logo. This logo is a simple and professional to reflect the hard work they put into their studies.",,,
Oxford Plumbing & Heating Air Vac Furnace Company,,,Oxford,MI,Web Design,,This website was created for Oxford Plumbing & Heating Air Vac Furnace Company. This project required working with both the client plus a content writer to help create the site. Colors on the website pop while still delivering the information needed.,,,
Vicksburg Family Dentistry,,,Vicksburg,MI,"Web Design, Web Maintenance",http://vicksburgfamilydentistry.com,This is a website for Vicksburg Family Dentistry. The website is fully responsive so it works on all devices and built on Wordpress so the client can changes and update everything without any coding knowledge. Borrowing from some of the principles of Google's Material Design by using flat design and depth together.,3,,
Clarkston Area Chamber of Commerce,,1,Clarkston,MI,Logo Design,,"<p>For the Clarkston Area Chamber of Commerce, I not only created a new logo, but created a full brand package for them. I featured the clock from the old logo and a landmark in downtown, updated with cleaner lines and more modern look. A new typeface was chosen to be used across the board. Blue is used because it conveys reliability while the orange is inviting and energetic. After discovering a multicolored wall in the chamber office, the tones from the wall was used to create all colors used in the logos.</p>
<p>All the logos keep a similar motif with varying levels in the words. The image of the logo is to left. The constant look allows the logos to be instantly recognizable as a chamber event or activity.</p>",1,1,